cohort,rung,outcome,winner_model,AP_mean,AP_std,AUC_mean,AUC_std,n,prevalence
cohort_8,+ 8ft,ad_adnc,RF,0.7771475857592095,0.04564244426621288,0.6013875598086125,0.061292980329443095,146,0.6506849315068494
cohort_8,+ Gait Bout,ad_adnc,LR-elasticnet,0.7661258417513203,0.05754272652557434,0.6087400318979266,0.08578534476324494,146,0.6506849315068494
cohort_8,+ Gait Bout + 8ft,ad_adnc,LR-elasticnet,0.765182576565719,0.056524599752915315,0.6090909090909091,0.0850677695447676,146,0.6506849315068494
cohort_8,Demographics,ad_adnc,HistGB,0.7790403914801658,0.04827778027437466,0.6136204146730464,0.07910136576087407,146,0.6506849315068494
cohort_8,+ 8ft,arteriol_scler_bin,LR-elasticnet,0.5395705937075059,0.14626808332105812,0.6514017366648945,0.11670660147170465,145,0.35172413793103446
cohort_8,+ Gait Bout,arteriol_scler_bin,SVC-RBF,0.5068022973269453,0.09155402928632517,0.5755360623781677,0.11451223191864238,145,0.35172413793103446
cohort_8,+ Gait Bout + 8ft,arteriol_scler_bin,SVC-RBF,0.5091827489339587,0.07909017897390992,0.5712688286372497,0.10436340539162636,145,0.35172413793103446
cohort_8,Demographics,arteriol_scler_bin,LR-l2,0.5533999639185369,0.12884085461651862,0.6738968633705477,0.09612906101839018,145,0.35172413793103446
cohort_8,+ 8ft,cvda_4gp2_bin,LR-l2,0.4274159097858115,0.10905706556785495,0.6990338164251207,0.09839068923768106,146,0.22602739726027396
cohort_8,+ Gait Bout,cvda_4gp2_bin,LR-l2,0.42772878185926466,0.13351215040895828,0.6710333145115752,0.10131827538804557,146,0.22602739726027396
cohort_8,+ Gait Bout + 8ft,cvda_4gp2_bin,LR-l2,0.422897677269053,0.13070279907612992,0.6697157914549218,0.1057280473843001,146,0.22602739726027396
cohort_8,Demographics,cvda_4gp2_bin,LR-l2,0.44766062505551907,0.12117521210331161,0.7059351276742583,0.09536779686924794,146,0.22602739726027396
cohort_8,+ 8ft,henl_4gp_bin,LR-l1,0.4195685083470075,0.10111027002198326,0.6310966810966812,0.0806552938716291,145,0.2620689655172414
cohort_8,+ Gait Bout,henl_4gp_bin,HistGB,0.3802901903927953,0.14330756636570308,0.5250721500721501,0.1515504064666594,145,0.2620689655172414
cohort_8,+ Gait Bout + 8ft,henl_4gp_bin,RF,0.39242929839506296,0.12858447319232463,0.544426406926407,0.1334587609995672,145,0.2620689655172414
cohort_8,Demographics,henl_4gp_bin,LR-l2,0.4488610251549465,0.13343461902246379,0.5915223665223667,0.0953407035038637,145,0.2620689655172414
cohort_8,+ 8ft,lb_7reg,HistGB,0.3538419025839619,0.11577094898632567,0.6308977455716587,0.11192291798938807,146,0.2054794520547945
cohort_8,+ Gait Bout,lb_7reg,LR-elasticnet,0.35918977429090443,0.11455947228151046,0.6080314009661836,0.13351130178243892,146,0.2054794520547945
cohort_8,+ Gait Bout + 8ft,lb_7reg,LR-l1,0.3419620276649386,0.0936224821489392,0.5766304347826087,0.11718846373238787,146,0.2054794520547945
cohort_8,Demographics,lb_7reg,HistGB,0.3195687672499839,0.10058482447526286,0.6035628019323672,0.10017464979690327,146,0.2054794520547945
cohort_8,+ 8ft,tdp_st4_bin,LR-elasticnet,0.7049109437544002,0.07977335237957718,0.6229512317747613,0.08628035789528887,146,0.5616438356164384
cohort_8,+ Gait Bout,tdp_st4_bin,LR-l1,0.6656129222212159,0.09271436132183059,0.5867835595776772,0.10931731103701095,146,0.5616438356164384
cohort_8,+ Gait Bout + 8ft,tdp_st4_bin,LR-l1,0.6579006588155932,0.09760238811306352,0.5795311714429361,0.10649943707484755,146,0.5616438356164384
cohort_8,Demographics,tdp_st4_bin,RF,0.7287397208749925,0.09515795455799066,0.6762757667169431,0.0883307696428343,146,0.5616438356164384
cohort_d,+ Gait Bout,ad_adnc,LR-elasticnet,0.7055677554807845,0.09024425569671,0.5534188034188035,0.11971850232277415,187,0.6417112299465241
cohort_d,Demographics,ad_adnc,HistGB,0.7521560379298059,0.0570081945390965,0.5939713064713066,0.07428587132589272,187,0.6417112299465241
cohort_d,+ Gait Bout,arteriol_scler_bin,SVC-RBF,0.5256120206516156,0.1011235410915448,0.603695519456389,0.09307974658978832,186,0.3602150537634409
cohort_d,Demographics,arteriol_scler_bin,LR-l2,0.5482815578818592,0.10107482121035459,0.6751831501831501,0.07579940175919725,186,0.3602150537634409
cohort_d,+ Gait Bout,cvda_4gp2_bin,LR-elasticnet,0.38345559910010313,0.07270824901890928,0.6206613756613757,0.07856351838756186,187,0.25668449197860965
cohort_d,Demographics,cvda_4gp2_bin,LR-elasticnet,0.4793231058846912,0.112759552375563,0.6944356261022927,0.09716351112918524,187,0.25668449197860965
cohort_d,+ Gait Bout,henl_4gp_bin,HistGB,0.36782324711786285,0.07719097764151457,0.5109876543209877,0.07935614980139913,186,0.25806451612903225
cohort_d,Demographics,henl_4gp_bin,LR-elasticnet,0.41087604375796666,0.09876787370324758,0.5827336860670195,0.09616639088738399,186,0.25806451612903225
cohort_d,+ Gait Bout,lb_7reg,LR-l1,0.317190763297217,0.0841256681399635,0.5671551724137931,0.10728864049993012,187,0.21390374331550802
cohort_d,Demographics,lb_7reg,LR-l1,0.344838921315527,0.07987827189723214,0.5576532567049809,0.07772634333519868,187,0.21390374331550802
cohort_d,+ Gait Bout,tdp_st4_bin,HistGB,0.6851356432394565,0.07391526703393328,0.6388686585745409,0.08639481283071966,187,0.5401069518716578
cohort_d,Demographics,tdp_st4_bin,LR-elasticnet,0.7142974833166184,0.07126924106821053,0.6561772486772488,0.07219688266386479,187,0.5401069518716578
