cohort,outcome,skb_model,skb_ap,pca_model,pca_ap,delta_skb_minus_pca,ci_lower,ci_upper,p_raw,note
cohort_d,ad_adnc,LR-elasticnet,0.7137347800457665,LR-elasticnet,0.7055677554807845,0.008167024564981855,-0.05864640177590342,0.07498045090586714,0.797007985828857,Holm not applied (post-hoc sensitivity)
cohort_d,lb_7reg,LR-l2,0.3455112000945673,LR-l1,0.317190763297217,0.028320436797350152,-0.10443125162969717,0.16107212522439748,0.654291939159695,Holm not applied (post-hoc sensitivity)
cohort_d,tdp_st4_bin,LR-elasticnet,0.6872904268470819,HistGB,0.6851356432394565,0.002154783607625399,-0.12725989381972824,0.13156946103497902,0.9720168434704898,Holm not applied (post-hoc sensitivity)
cohort_d,arteriol_scler_bin,HistGB,0.441172830723059,SVC-RBF,0.5256120206516156,-0.08443918992855654,-0.25233653953555796,0.08345815967844489,0.2989740551539479,Holm not applied (post-hoc sensitivity)
cohort_d,cvda_4gp2_bin,RF,0.43288828506801313,LR-elasticnet,0.38345559910010313,0.04943268596790996,-0.12533093673699938,0.22419630867281928,0.5537860153200717,Holm not applied (post-hoc sensitivity)
cohort_d,henl_4gp_bin,LR-elasticnet,0.34215698069595907,HistGB,0.36782324711786285,-0.02566626642190374,-0.143423602510532,0.09209106966672449,0.6473529452331357,Holm not applied (post-hoc sensitivity)
cohort_8,ad_adnc,LR-elasticnet,0.7613150409236294,LR-elasticnet,0.7661258417513203,-0.004810800827690794,-0.060101272433380384,0.050479670777998795,0.8546381583707728,Holm not applied (post-hoc sensitivity)
cohort_8,lb_7reg,HistGB,0.3572583034229235,LR-elasticnet,0.35918977429090443,-0.0019314708679809241,-0.15290834868219894,0.14904540694623708,0.9784972105756693,Holm not applied (post-hoc sensitivity)
cohort_8,tdp_st4_bin,HistGB,0.652124837493558,LR-l1,0.6656129222212159,-0.013488084727657864,-0.10151792123850104,0.07454175178318531,0.7473008865959055,Holm not applied (post-hoc sensitivity)
cohort_8,arteriol_scler_bin,RF,0.4594959600641159,SVC-RBF,0.5068022973269453,-0.047306337262829165,-0.17705116115433434,0.08243848662867602,0.4472325090581016,Holm not applied (post-hoc sensitivity)
cohort_8,cvda_4gp2_bin,SVC-RBF,0.39336342346884023,LR-l2,0.42772878185926466,-0.034365358390424455,-0.2011271949132361,0.1323964781323872,0.6652503154416798,Holm not applied (post-hoc sensitivity)
cohort_8,henl_4gp_bin,RF,0.39948294438648746,HistGB,0.3802901903927953,0.019192753993692174,-0.1251688520976718,0.16355436008505614,0.779706026252295,Holm not applied (post-hoc sensitivity)
